[ 584m]    INFO Explorer: Found a better result at #0002: Quality 8.0e-07, Perf 1.2e+06
[ 731m]    INFO Explorer: Found a better result at #0016: Quality 1.4e-06, Perf 7.3e+05
[ 731m]    INFO Explorer: Found a better result at #0016: Quality 2.1e-06, Perf 4.8e+05
[ 731m]    INFO Explorer: Found a better result at #0016: Quality 2.8e-06, Perf 3.5e+05
[ 731m]    INFO Explorer: Found a better result at #0016: Quality 3.4e-06, Perf 2.9e+05
[ 878m]    INFO Explorer: Found a better result at #0020: Quality 4.7e-06, Perf 2.1e+05
[ 878m]    INFO Explorer: Found a better result at #0020: Quality 5.8e-06, Perf 1.7e+05
[ 878m]    INFO Explorer: Found a better result at #0020: Quality 6.5e-06, Perf 1.5e+05
[ 878m]    INFO Explorer: Found a better result at #0020: Quality 6.9e-06, Perf 1.4e+05
[ 881m]    INFO Explorer: All points are stopped at level 1
[ 960m]    INFO Explorer: All points are stopped at level 1
[1104m]    INFO Explorer: Found a better result at #0041: Quality 7.0e-06, Perf 1.4e+05
[1104m]    INFO Explorer: Found a better result at #0041: Quality 7.2e-06, Perf 1.4e+05
[1104m]    INFO Explorer: Explored 45 points
